Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","20217897","06-Dec 2021 13:00pm","Difference in Ion Balance","2.600","%"
"M36/0473","20217897","06-Dec 2021 13:00pm","Dissolved Oxygen","5.220","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Dissolved Oxygen Saturation","49.000","%"
"M36/0473","20217897","06-Dec 2021 13:00pm","Dissolved Reactive Phosphorus","0.0134","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","E. coli","<1","MPN/100mL"
"M36/0473","20217897","06-Dec 2021 13:00pm","Fluoride","0.080","g/m3"
"M36/0473","20217897","06-Dec 2021 13:00pm","Hardness, Total","46.000","g/m3 as CaCO3"
"M36/0473","20217897","06-Dec 2021 13:00pm","Iron, Dissolved","<0.020","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Magnesium, Dissolved","3.700","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Nitrate Nitrogen","0.660","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Nitrate-N Nitrite-N","0.660","g/m3"
"M36/0473","20217897","06-Dec 2021 13:00pm","Nitrite Nitrogen","<0.002","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Oxidation Reduction Potential","120.200","mV"
"M36/0473","20217897","06-Dec 2021 13:00pm","pH","7.9",""
"M36/0473","20217897","06-Dec 2021 13:00pm","pH (Field)","7.50",""
"M36/0473","20217897","06-Dec 2021 13:00pm","Potassium, Dissolved","0.980","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Silica, Reactive","19.100","mg/L  as SiO2"
"M36/0473","20217897","06-Dec 2021 13:00pm","Sodium, Dissolved","8.900","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Sulphate","3.000","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Sum of anions","1.260","meq/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Sum of cations","1.320","meq/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Total Coliforms","<1.00","number/100mL"
"M36/0473","20217897","06-Dec 2021 13:00pm","Total Dissolved Phosphorus","0.011","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Water Temperature (Field)","12.8","C"
"M36/0473","20205928","10-Nov 2020 12:18pm","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M36/0473","20205928","10-Nov 2020 12:18pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","20205928","10-Nov 2020 12:18pm","Bicarbonate","63.000","mg/L  at 25°C"
"M36/0473","20205928","10-Nov 2020 12:18pm","Bromide","0.050","g/m3"
"M36/0473","20205928","10-Nov 2020 12:18pm","Calcium, Dissolved","12.000","mg/L"
