ID,WELL_NO,Primary_Use,WGS84_LONGITUDE,WGS84_LATITUDE,WELL_URL
475,M35/7548,Irrigation,172.3966373432093,-43.522615677673755,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7548
480,M36/0625,Domestic Supply,172.39551564981306,-43.719577244494616,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/0625
484,M36/0292,Domestic Supply,172.396434503378,-43.62687390519916,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/0292
485,M36/4142,Domestic Supply,172.39655928854467,-43.61427325249109,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4142
489,M35/1076,Irrigation,172.39830595381008,-43.52400159527289,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1076
498,M36/4430,Domestic Supply,172.39693850526845,-43.59598525797366,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4430
499,M35/7347,Irrigation,172.39776570786216,-43.524844880715236,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7347
500,M35/7258,Irrigation,172.39960300768053,-43.40122095866202,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7258
501,M35/1154,Irrigation,172.3985031155718,-43.505280110199415,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1154
502,M36/5723,Domestic Supply,172.39635018753273,-43.66792640730326,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5723
506,M35/2765,Domestic Supply,172.39884292515467,-43.49966511392756,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/2765
514,M36/4743,Irrigation,172.3979848163687,-43.59537865338526,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4743
517,M35/6265,Domestic Supply,172.39860406240985,-43.532653283782786,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6265
525,M36/3028,Domestic Supply,172.3973191918143,-43.668993555111506,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3028
526,M35/6264,Domestic Supply,172.3991810105482,-43.53687784001342,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6264
532,M36/5885,Domestic Supply,172.39944978302933,-43.55983211567198,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5885
541,M36/4839,Irrigation,172.3993103801839,-43.594080415084726,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4839
542,M34/5529,Domestic Supply,172.40272308717974,-43.25063244053824,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M34/5529
544,M35/7254,Domestic Supply,172.4015306227482,-43.404813639892886,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7254
550,M35/1113,Domestic Supply,172.4004480319569,-43.5024188714419,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1113
552,M35/7259,Domestic Supply,172.4023883829493,-43.39917418656871,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7259
553,M35/7262,Domestic Supply,172.40248991793854,-43.388823087064004,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7262
555,M36/5201,Irrigation,172.40125468735357,-43.66093126164501,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5201
556,M35/5524,Domestic Supply,172.40051171649253,-43.50223017781805,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5524
558,M36/4711,Domestic Supply,172.40113830433805,-43.56434145038,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4711
561,M35/7260,Domestic Supply,172.40304086559357,-43.39557702086426,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7260
564,M36/5195,Domestic Supply,172.40057645923696,-43.65929859924717,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5195
567,M35/6844,Domestic Supply,172.40205465746772,-43.53403043602862,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6844
574,M35/6263,Domestic Supply,172.402291671011,-43.53509380321888,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6263
577,M35/7255,Domestic Supply,172.40358757501852,-43.40278103623761,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7255
581,M36/4870,Domestic Supply,172.40238655966937,-43.60116217023427,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4870
582,M36/5847,Domestic Supply,172.40290083710482,-43.54868868146518,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5847
585,M35/1153,Irrigation,172.40357213227685,-43.50539652781062,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1153
587,M36/2613,Domestic Supply,172.3999857101028,-43.70672954302346,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/2613
590,M36/0572,Domestic Supply,172.40261012599672,-43.66937202858834,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/0572
600,M35/0098,Domestic Supply,172.406077349207,-43.305757846240645,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0098
604,M36/6013,Domestic Supply,172.40328776818978,-43.56984325798335,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/6013
605,M36/5848,Domestic Supply,172.40364858612276,-43.54815248988369,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5848
607,M35/6666,Domestic Supply,172.40704153806945,-43.31814003430511,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6666
610,M36/4216,Domestic Supply,172.40399716401618,-43.57578762873946,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4216
617,M35/7256,Domestic Supply,172.40608284631523,-43.40009356200353,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7256
618,M35/7257,Domestic Supply,172.40610038192875,-43.39829335465827,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7257
621,M35/1704,Irrigation,172.38432257773746,-43.54410830360318,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1704
630,M36/2862,Domestic Supply,172.38309213825815,-43.68169971835648,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/2862
634,M35/7302,Irrigation,172.3851314890786,-43.52280681873848,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7302
635,M35/6284,Domestic Supply,172.38513479283998,-43.51880129585104,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6284
637,M35/7793,Irrigation,172.3851411487372,-43.518171244579186,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7793
640,M35/4981,Irrigation,172.38578042557515,-43.51610437670896,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/4981
